epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,952.874,1.97518,2.44855,1.90234,0.36094,0.50299,0.38128,0.12256,2.10182,2.84094,1.99427,0.00048,0.00048,0.00048
2,1723.73,1.87211,1.83413,1.71705,0.27262,0.50898,0.32086,0.11482,2.30889,4.6753,2.36713,0.000941192,0.000941192,0.000941192
3,2451.42,1.91428,1.88056,1.79414,0.28792,0.41317,0.2019,0.04998,2.67826,3.77343,2.66544,0.00136278,0.00136278,0.00136278
4,3687.74,1.98628,1.90253,1.87711,0.38651,0.46108,0.26312,0.06429,2.76274,4.94853,2.88982,0.00174478,0.00174478,0.00174478
5,5147.68,2.01078,1.88576,1.83558,0.09694,0.39521,0.1397,0.0406,2.50779,17.0169,2.63373,0.0016832,0.0016832,0.0016832
6,7380,1.92064,1.80068,1.80381,0.38445,0.25749,0.23416,0.07762,2.33485,2.60574,2.24739,0.001604,0.001604,0.001604
7,8283.31,1.9143,1.791,1.80508,0.38003,0.47305,0.37503,0.10723,2.4522,3.19367,2.58528,0.0015248,0.0015248,0.0015248
8,10279.5,1.88026,1.73332,1.77116,0.59539,0.47305,0.49057,0.17327,2.17925,2.19888,2.08517,0.0014456,0.0014456,0.0014456
9,11298.1,1.85833,1.68527,1.75109,0.47017,0.49701,0.46685,0.17197,2.14844,2.0571,2.06049,0.0013664,0.0013664,0.0013664
10,12685.1,1.84378,1.65849,1.73697,0.5081,0.43114,0.44068,0.12873,2.30905,1.91814,2.11464,0.0012872,0.0012872,0.0012872
11,14072.9,1.84226,1.67694,1.7428,0.46138,0.4491,0.43553,0.12702,2.40925,1.9952,2.23327,0.001208,0.001208,0.001208
12,15749.5,1.79571,1.52845,1.71391,0.58448,0.48012,0.48288,0.15051,2.20935,1.85586,2.11884,0.0011288,0.0011288,0.0011288
13,16642.6,1.75103,1.50439,1.66511,0.44291,0.5509,0.49264,0.17523,2.11948,1.76486,2.01004,0.0010496,0.0010496,0.0010496
14,18750.2,1.74101,1.52306,1.70125,0.48356,0.56886,0.47103,0.14669,2.35584,1.79772,2.25575,0.0009704,0.0009704,0.0009704
15,21605.8,1.69648,1.4503,1.64509,0.5542,0.58084,0.52952,0.17921,2.19195,1.72109,2.01537,0.0008912,0.0008912,0.0008912
16,24685.4,1.71696,1.49264,1.66161,0.53505,0.52096,0.4912,0.1661,2.17707,1.67245,2.0153,0.000812,0.000812,0.000812
17,26625.5,1.70303,1.33224,1.63989,0.51356,0.63473,0.58029,0.20797,2.13123,1.70581,2.0264,0.0007328,0.0007328,0.0007328
18,42393.8,1.62968,1.25224,1.62285,0.50917,0.54491,0.50524,0.1913,2.06295,1.74138,2.00693,0.0006536,0.0006536,0.0006536
19,43312.8,1.59995,1.19309,1.62329,0.56396,0.53293,0.53669,0.18419,2.15106,1.70056,2.10878,0.0005744,0.0005744,0.0005744
20,46219.3,1.5747,1.1622,1.6232,0.55256,0.56886,0.5744,0.19854,2.16306,1.65161,2.10143,0.0004952,0.0004952,0.0004952
21,46929.3,1.5502,1.1477,1.58194,0.51983,0.60479,0.54044,0.19927,2.22614,1.64018,2.11109,0.000416,0.000416,0.000416
22,47630.6,1.51627,1.07362,1.51948,0.54661,0.60479,0.5714,0.20261,2.17863,1.61488,2.09807,0.0003368,0.0003368,0.0003368
23,48394.3,1.47268,1.05822,1.51225,0.53342,0.60928,0.54532,0.19646,2.17796,1.6692,2.10607,0.0002576,0.0002576,0.0002576
24,49418.6,1.46537,1.02582,1.52186,0.58261,0.56886,0.55617,0.18721,2.23553,1.68754,2.16761,0.0001784,0.0001784,0.0001784
25,50389.6,1.39897,0.94348,1.44677,0.57471,0.62308,0.55338,0.18423,2.24194,1.6627,2.18148,9.92e-05,9.92e-05,9.92e-05
